Donnamira Goodbody
Daisy Lightfoot
Cleoma Fairbairn
Asphodel Galpsi
Lily Noaks
Diamond Hlothran
Nigella Hornblower
Valera Hogg
Rowan Bunce
Celeste Gamwich
Menegilda Longhole
Calendine Twofoot
Clematis Marsh
Coryda Burrows
Liatris Gamwich
Kalmia Brandagamba
Lysima Cotton
Goldilocks Bunce
Holly Goold
Belba Harfoot
Valera Greenholm
Primula Longhole
Allia Banks
Linaria Proudfoot
Rose Bracegirdle
Peona Gamgee
Anagellis Maggot
Gazania Hayward
Emerald Diggle
Dianthus Harfoot
Begona Gammidge
Nigella Longholes
Amsonia Gardner
Adaldrida Gammidge
Peony Greenhand
Celesta Townsend
Tanta Marsh
Salva Oldbuck
Hyacynth Baggins
Magnolia Marsh
Eranthis Brandagamba
Sapphire Brown
Adaldrida Burrowes
Cleoma Gawkroger
Lyla Zaragamba
Daisy Brownlock
Lunaria Gamwich
Lonicera Gamwich
Kalmia Twofoot
Hosta Bunce
Linaria Noaks
Nemisia Stoor
Chica Fallohide
Daffodil Gawkroger
Gardenia Sandheaver
Ruellia Goodchild
Cercis Clayhanger
Liatris Brandybuck
Beryl Noaks
Narcissa Burrowes
Anagella Greenhand
Hyacynth Baggins
Datura Brockhouse
Primrose Bracegirdle
Brodia Zaragamba
Tulip Townsend
Marigold Gardner
Nigella Gawkroger
Catalpa Longholes
Rowan Sandyman
Salva Townsend
Pearl Boffin
Camella Proudfoot
Nemisia Gammidge
Catalpa Banks
Camomila Hornblower
Garnette Gardner
Cercis Underhill
Anagella Oldbuck
Gerania Brandybuck
Pearl Goldworthy
Coryda Zaragamba
Meadow Goodchild
Adamanta Tuk
Hildigrim Noaks
Canna Maggot
Daisi Noaks
Monarda Gawkroger
Heather Twofoot
Viola Bracegirdle
